rdfs_label;om_area;om_perimetro;om_tieneCodigoBarrio;om_perteneceADistrito
Argentina;113516.77;1426.21;12;Centro
Campus Universitario;1504384.69;6002.54;46;Norte
Industrial Las Capellanias;1927133.8;7120.85;58;Oeste
Rincon De Ballesteros;79917.96;1424.58;1;Pedanias
Santa Clara;87959.36;1783.49;10;Centro
Reyes Huertas;154660.29;1861.92;11;Centro
Charca Musia;411320.79;2775.52;13;Sur
San Marquino;103488.79;1747.71;14;Centro
San Blas;144380.38;2170.68;15;Centro
San Justo;81772.79;1315.59;16;Centro
San Jorge;94552.36;1529.5;17;Norte
Seminario;76125.36;1352.23;18;Norte
La Madrila;74797.55;1040.33;19;Oeste
Valdesalor;167808.14;1790.37;2;Pedanias
La Zambomba;157228.06;2114.68;20;Centro
Aguas Vivas;152890.55;2449.97;21;Centro
Moctezuma;189719.03;2261.54;22;Centro
Los Fratres;187700.17;2178.62;23;Centro
El Rodeo;428395.24;2864.06;24;Centro
Espiritu Santo;166735.62;1768.71;25;Sur
El Peru;175946.79;2192.13;26;Centro
Las Trescientas;51166.66;1012.42;27;Sur
Poligono Ganadero;1089542.02;6467.69;28;Norte
El Vivero;159960.55;2129.98;29;Oeste
Estacion Arroyo Malpartida;117412.08;2368.45;3;Pedanias
Cabezarrubia;258626.62;2217.97;30;Oeste
Recinto Ferial;179965.8;2320.84;31;Sur
San Antonio (Nuevo Caceres);570866.51;3122.05;32;Sur
Ronda;303647.66;2651.02;33;Norte
Macondo;206673.17;1922.27;34;Oeste
Canovas;154574.5;1857.47;35;Centro
R 66 A (El Arco);284458.18;2478.86;36;Oeste
Casa Plata;286047.55;2355.19;37;Sur
Residencial Universidad;156905.29;2010.08;38;Norte
Caceres El Viejo;773455.93;3941.28;39;Norte
La Paloma;139260.49;1770.56;4;Sur
Gredos;198988.89;1777.63;40;Norte
Nueva Ciudad;207765.43;1841.68;41;Norte
Vegas Del Mocho;259921.1;2314.35;42;Norte
Vistahermosa;484234.04;3630.82;43;Sur
Maltravieso;234976.99;2092.15;44;Sur
Huertas;139835.56;1771.8;45;Centro
San Francisco;252006.45;2705.49;47;Centro
Los Castellanos;325282.34;2364.92;48;Oeste
El Junquillo;311396.34;2248.77;49;Oeste
La Abundancia;226718.61;2398.58;5;Sur
Mejostilla;789514.77;4547.89;50;Norte
Montesol;770630.29;4528.07;51;Norte
Plaza Mayor;44009.61;1057.02;52;Centro
Margallo;121360.69;1796.34;53;Centro
Llopis Ivorra;167398.92;1747.23;54;Sur
La Sierrilla;868527.32;5620.24;55;Oeste
Cementerio;96142.57;1289.73;56;Norte
Estacion;417402.79;5033.81;57;Oeste
Industrial Mejostilla;457387.57;3498.5;59;Norte
Sierra De San Pedro;368866.28;3110.03;6;Sur
R 66 B (Parque Del Principe);308977.79;2242.37;60;Oeste
Paseo Alto;49095.68;1763.55;61;Centro
Peña Redonda;51922.97;1027.67;62;Centro
Hernan Cortes;45226.35;1953.64;63;Centro
Casas Baratas;108664.84;1626.81;64;Centro
Ciudad Monumental;90964.45;1251.5;65;Centro
Ribera Del Marco;90176.15;1859.07;66;Centro
Virgen De Guadalupe;66315.09;1373.99;67;Centro
Parque Del Principe;489598.49;3595.04;68;Oeste
Virgen De La Montaña;47936.64;1015.9;69;Centro
Barriada Minera;113206.09;1399.14;7;Sur
Hernandez Pacheco;52428.86;1083.29;70;Centro
Industrial Aldea Moret;602798.11;3765.91;71;Sur
Infanta Isabel;103725.76;1833.53;72;Norte
La Bondad;61023.62;1394.92;73;Centro
Vera Cruz;60009.52;987.81;74;Sur
Las Candelas;56789.55;1052.18;75;Norte
El Cuartillo;1317652.53;6802.11;76;Norte
La Cañada;109035.09;1782.1;77;Sur
Ceres Golf;1103003.81;5469.91;78;Sur
San Juan;89696.2;1637.67;8;Centro
Santiago;88619.19;1498.69;9;Centro
